id,Region_ID
546,10
547,10
548,10
549,8
550,11
551,8
552,15
553,15
554,15
555,8
556,8
557,8
558,13
559,13
560,13
561,11
562,8
563,11
564,10
565,8
566,10
567,8
568,8
569,8
570,8
571,6
572,8
573,11
574,8
575,11
576,7
577,7
578,7
579,8
580,8
581,8
582,12
583,12
584,12
585,7
586,7
587,7
588,8
589,8
590,8
591,7
592,7
593,7
594,8
595,6
596,6
597,8
598,8
599,8
600,15
601,15
602,15
603,8
604,8
605,8
606,14
607,14
608,8
609,15
610,15
611,15
612,8
613,8
614,7
615,8
616,8
617,8
618,14
619,14
620,14
621,8
622,8
623,8
624,8
625,8
626,8
627,15
628,15
629,15
630,8
631,8
632,8
633,10
634,10
635,10
636,11
637,8
638,11
639,8
640,8
641,8
642,6
643,8
644,6
645,8
646,8
647,8
648,8
649,8
650,8
651,8
652,8
653,8
654,8
655,8
656,8
657,8
658,8
659,8
660,13
661,15
662,15
663,8
664,8
665,8
666,8
667,8
668,8
669,11
670,11
671,12
672,8
673,8
674,8
675,8
676,8
677,8
678,15
679,15
680,15
681,8
682,8
683,8
684,8
685,8
686,8
687,8
688,10
689,10
690,8
691,12
692,8
693,14
694,14
695,14
696,15
697,15
698,15
699,15
700,15
701,15
702,8
703,8
704,8
705,8
706,7
707,8
708,8
709,8
710,8
711,12
712,12
713,12
714,8
715,8
716,8
717,13
718,13
719,13
720,7
721,11
722,11
723,13
724,13
725,13
726,13
727,13
728,13
729,8
730,8
731,6
732,6
733,8
734,8
735,8
736,8
737,8
