id,Latitude,Longitude
382,219444,141349
383,219565,141433
384,219658,144955
385,219404,145197
386,219982,144492
387,221059,142921
388,220855,143438
389,220004,143651
390,220113,144261
391,219359,145231
392,220013,144622
393,218714,144322
394,218585,144525
395,218981,144016
396,221344,142795
397,220824,143367
398,221581,142664
399,218413,144999
400,218712,145277
401,218993,145502
402,220500,143402
403,220904,143427
404,220876,143446
405,221076,143185
406,220736,142913
407,221153,143129
408,218905,144955
409,218187,144553
410,218728,145047
411,220306,142280
412,220041,142383
413,219983,142585
414,220143,143319
415,219978,143574
416,220135,143602
417,220148,142170
418,220720,143075
419,220558,142436
420,219206,143946
421,218842,144118
422,219026,143736
423,220510,142351
424,220391,142400
425,221037,142876
426,220403,142291
427,220094,142027
428,220101,142170
429,219400,144052
430,219611,144850
431,220205,143766
432,220105,144004
433,219900,144478
434,220151,144077
435,218824,140856
436,219413,141310
437,219243,141190
438,219732,144757
439,220457,143715
440,219569,144579
441,220223,142095
442,220325,142196
443,220385,142372
444,218646,144248
445,218635,144200
446,218373,144660
447,218624,144304
448,218709,144324
449,218744,144385
450,218602,144411
451,218492,144416
452,218732,144241
453,219496,144848
454,218505,144866
455,218798,145350
456,218423,143677
457,218592,143557
458,218005,144557
459,220180,143941
460,220634,143644
461,219905,143878
462,220179,142179
463,220168,142100
464,219283,142020
465,219530,141467
466,218777,140851
467,219100,141054
468,220950,143305
469,221365,142861
470,221535,142683
471,219764,144660
472,220144,144175
473,219042,144183
474,218707,145344
475,220196,144520
476,219357,144093
477,219121,145448
478,219605,144939
479,219804,144498
480,220147,142267
481,220466,142308
482,219518,141270
483,219192,145232
484,219141,144976
485,220000,144373
486,220955,143445
487,220096,144546
488,220489,143935
489,220313,142314
490,220076,143675
491,220222,143469
492,219746,144716
493,220058,144316
494,219740,143758
495,219069,145282
496,219576,144691
497,219956,144109
498,218561,144622
499,219112,143894
500,218650,144277
501,218813,144140
502,218787,144044
503,219485,142913
504,221269,142906
505,221323,142924
506,221100,142790
507,219247,145185
508,218192,144374
509,219057,145432
510,218251,143999
511,218012,144273
512,220157,144098
513,220372,142205
514,220767,142846
515,219732,143366
516,219422,143706
517,219535,143211
518,220645,143681
519,220760,142759
520,220502,143261
521,220852,143246
522,218949,141002
523,219498,141491
524,219695,141573
525,221626,135367
526,220504,143870
527,221472,142768
528,38336,258
529,38254,145
530,38312,226
531,218887,145290
532,218992,144766
533,219158,145136
534,219085,143587
535,218435,145120
536,218507,143795
537,218563,144285
538,218503,144487
539,218560,144340
540,219800,141671
541,219884,141972
542,220138,142139
543,219656,143055
544,219660,142988
545,220109,142494
546,221461,142821
547,220371,143788
548,221452,142657
549,220190,143709
550,220966,142863
551,221254,142980
552,218260,143741
553,217945,144670
554,220122,143591
555,220663,143630
556,221177,142910
557,220873,143446
558,219234,141218
559,219155,141171
560,220670,143417
561,220530,142435
562,220764,142632
563,220202,142223
564,221255,142947
565,220212,142671
566,221608,142755
567,219801,144605
568,220235,144022
569,219835,144252
570,219090,143791
571,219604,143280
572,219526,142421
573,220546,142419
574,220441,143280
575,219967,143374
576,220002,141865
577,219549,143109
578,220207,142333
579,218858,144042
580,219511,143110
581,218842,143782
582,220211,142164
583,219908,142815
584,219896,141664
585,219955,142864
586,220278,142418
587,219920,142499
588,220805,143454
589,220483,143874
590,220716,143541
591,219802,142756
592,219701,143002
593,219699,142903
594,218872,143999
595,218937,143933
596,218836,144111
597,220605,143610
598,219556,144464
599,218821,145492
600,218101,144343
601,218187,143317
602,217946,144582
603,219987,142827
604,220180,143790
605,220736,143429
606,218742,140755
607,218709,140659
608,219762,142747
609,217939,144115
610,218298,144110
611,218477,143420
612,220117,142371
613,220062,142332
614,219502,143163
615,220231,144198
616,219311,144638
617,219530,144723
618,218694,140725
619,218977,140990
620,218686,140735
621,219299,144876
622,220391,143709
623,219498,144724
624,219005,143593
625,219145,143743
626,218823,143925
627,219947,142314
628,218186,143852
629,218678,143321
630,219332,144652
631,220420,143810
632,220030,143651
633,221448,142772
634,220747,142492
635,220854,143423
636,220350,142328
637,220859,143313
638,220909,143376
639,219591,144997
640,220006,144527
641,219942,143909
642,219106,143647
643,218809,144125
644,218766,143865
645,219796,144503
646,220084,144272
647,219761,144416
648,220669,143275
649,220700,143644
650,219575,143470
651,219920,144309
652,219564,144909
653,219698,144727
654,219646,145121
655,219755,144552
656,219607,144853
657,218169,144369
658,218577,142980
659,218408,143635
660,218657,143971
661,217964,144322
662,218107,144074
663,218591,144277
664,218540,144379
665,218565,144430
666,220104,144369
667,220134,143939
668,220001,143511
669,220411,142203
670,220701,142500
671,220306,142367
672,220114,143858
673,219911,144130
674,220171,143724
675,218660,144395
676,218597,144419
677,218752,144177
678,218059,144535
679,218866,143139
680,218076,144434
681,220053,144244
682,219774,143593
683,220264,143955
684,220354,143586
685,220129,144029
686,220435,143688
687,220888,143378
688,221536,142824
689,221079,143221
690,219165,141125
691,220072,142055
692,219812,141541
693,218768,140710
694,218794,140832
695,218691,140735
696,218407,143473
697,218615,143258
698,218048,144644
699,218002,144384
700,218332,143806
701,218341,144675
702,220599,143694
703,219626,143754
704,220402,143514
705,220234,142535
706,219873,141858
707,219798,142865
708,220244,144057
709,219652,144778
710,219734,144789
711,220020,141933
712,220334,141972
713,220065,142226
714,219632,144459
715,218970,144725
716,219642,144710
717,219191,141172
718,219716,141631
719,219265,141185
720,220947,142791
721,220803,143409
722,220437,143890
723,219276,141243
724,219131,141147
725,219183,141188
726,219557,141401
727,219480,141400
728,219323,141267
729,219063,143827
730,219632,143116
731,218694,143642
732,219016,143780
733,219863,142967
734,218900,144006
735,218698,144030
736,218471,144439
737,218693,144170
